attendance_percentage,assignment_avg,quiz_avg,midterm_score,previous_semester_score,final_score,risk_level,risk_level_encoded
93,88,74,50,72,78.35,Safe,0
83,41,67,86,80,69.3,At Risk,1
69,41,43,65,70,56.35,At Risk,1
97,67,77,39,52,70.05,Safe,0
62,93,88,66,94,80.35,Safe,0
75,62,82,38,72,67.15,At Risk,1
93,76,73,53,72,75.6,Safe,0
73,71,63,64,81,70.35,Safe,0
77,72,76,78,85,76.9,Safe,0
65,40,89,64,80,65.65,At Risk,1
65,58,60,77,71,64.95,At Risk,1
78,41,69,65,61,62.45,At Risk,1
90,92,84,47,53,77.3,Safe,0
94,83,59,78,77,79.3,Safe,0
78,65,58,68,64,67.15,At Risk,1
57,71,47,61,57,59.1,At Risk,1
76,45,41,53,72,57.2,At Risk,1
56,71,70,52,92,67.35,At Risk,1
78,94,79,61,73,78.9,Safe,0
98,43,54,66,57,64.5,At Risk,1
84,94,35,41,90,71.15,Safe,0
92,50,42,78,79,67.45,At Risk,1
56,56,80,84,50,64.1,At Risk,1
75,77,50,42,62,63.6,At Risk,1
87,63,48,52,49,62.25,At Risk,1
66,44,46,54,91,58.45,At Risk,1
76,91,85,64,69,78.7,Safe,0
98,73,57,70,46,71.55,Safe,0
79,45,49,59,54,57.75,At Risk,1
81,61,62,46,74,65.9,At Risk,1
96,50,68,78,94,75.9,Safe,0
82,87,36,49,89,70.15,Safe,0
70,55,66,77,49,63.35,At Risk,1
69,72,57,54,77,66.3,At Risk,1
98,48,56,51,45,62.1,At Risk,1
57,45,85,42,62,58.1,At Risk,1
91,55,59,88,76,72.9,Safe,0
61,68,56,48,91,64.3,At Risk,1
75,42,56,78,93,66.1,At Risk,1
63,59,83,65,55,65.1,At Risk,1
93,75,86,41,65,75.1,Safe,0
72,58,76,70,70,68.7,At Risk,1
58,65,40,48,69,56.3,At Risk,1
79,42,49,41,66,56.1,At Risk,1
68,58,88,38,71,65.45,At Risk,1
63,59,77,36,93,65.25,At Risk,1
80,71,71,57,57,69.05,At Risk,1
56,46,67,43,77,56.9,At Risk,1
74,91,42,60,78,70.35,Safe,0
82,80,87,81,85,82.8,Safe,0
61,72,78,48,79,67.9,At Risk,1
98,79,78,87,45,79.65,Safe,0
62,78,39,76,65,63.95,At Risk,1
89,57,73,45,92,71.65,Safe,0
68,79,38,82,50,64.15,At Risk,1
71,40,40,34,72,51.65,At Risk,1
90,50,79,64,61,69.55,At Risk,1
